## This file was generated by code using data from another file.

Overlap,t,n,r,s,d,l,k,D,z,m,h,v,w,p,Y,b,f,S,g,J,_
t,4066900,2366253,1443649,1961537,2307232,1987913,1812152,1583290,1577405,1641699,977052,1335660,880884,1471884,1285639,1283260,1334938,1133937,1215159,1124766,990396
n,2366253,4133306,1380660,1915686,2032729,2124861,1698976,1694965,1628734,1872242,708545,995704,702902,1157894,1229224,1035942,1303094,911595,995433,839274,852573
r,1443649,1380660,2888404,1390677,1282277,1743292,1083304,1320760,1080859,1223531,632373,517332,787258,689807,499101,922578,628213,598468,549615,520323,503978
s,1961537,1915686,1390677,2770328,1284676,1424512,1206177,1424347,1065728,1204890,835689,946058,739822,947001,760404,980245,932666,716427,671158,576215,566849
d,2307232,2032729,1282277,1284676,2620674,1570150,1286564,1414914,1402221,1326127,595340,819416,669893,1058012,895211,902639,997388,730760,835642,530080,595386
l,1987913,2124861,1743292,1424512,1570150,2344600,1181773,1344718,1147471,1375085,792199,964923,789699,861079,814217,915169,807862,687716,663424,587293,548757
k,1812152,1698976,1083304,1206177,1286564,1181773,1782327,1406320,908153,1104935,649727,900286,583950,1017588,710599,899818,908272,654425,733533,506325,513730
D,1583290,1694965,1320760,1424347,1414914,1344718,1406320,2148750,1098723,1368124,1106777,1122504,1009830,1337438,889325,1299240,1215076,1143832,1096275,1054913,946436
z,1577405,1628734,1080859,1065728,1402221,1147471,908153,1098723,1669289,929885,265561,444924,274333,563624,619328,581407,534015,434745,432397,350745,319985
m,1641699,1872242,1223531,1204890,1326127,1375085,1104935,1368124,929885,1637083,718434,983641,819259,922882,748466,980976,848577,646090,609622,545453,564499
h,977052,708545,632373,835689,595340,792199,649727,1106777,265561,718434,1024747,429668,774811,634779,348977,787743,667577,424258,499834,308863,396586
v,1335660,995704,517332,946058,819416,964923,900286,1122504,444924,983641,429668,1242058,399912,873958,707951,590902,539658,478860,682138,320357,311594
w,880884,702902,787258,739822,669893,789699,583950,1009830,274333,819259,774811,399912,1236770,698864,362846,813268,693918,379834,420177,225772,326939
p,1471884,1157894,689807,947001,1058012,861079,1017588,1337438,563624,922882,634779,873958,698864,1215263,565995,836642,779811,517345,576498,382583,353949
Y,1285639,1229224,499101,760404,895211,814217,710599,889325,619328,748466,348977,707951,362846,565995,1173800,490804,558861,523864,458143,370657,428093
b,1283260,1035942,922578,980245,902639,915169,899818,1299240,581407,980976,787743,590902,813268,836642,490804,1092767,809697,661155,600854,437985,446342
f,1334938,1303094,628213,932666,997388,807862,908272,1215076,534015,848577,667577,539658,693918,779811,558861,809697,1030047,530389,546395,402035,400429
S,1133937,911595,598468,716427,730760,687716,654425,1143832,434745,646090,424258,478860,379834,517345,523864,661155,530389,514062,377695,322283,307885
g,1215159,995433,549615,671158,835642,663424,733533,1096275,432397,609622,499834,682138,420177,576498,458143,600854,546395,377695,491695,227226,252120
J,1124766,839274,520323,576215,530080,587293,506325,1054913,350745,545453,308863,320357,225772,382583,370657,437985,402035,322283,227226,321885,189142
_,990396,852573,503978,566849,595386,548757,513730,946436,319985,564499,396586,311594,326939,353949,428093,446342,400429,307885,252120,189142,291343
