## This file was generated by code using data from another file.

Positional Counts,Starting,Ending
n,3296785,79.761459%
t,2075073,51.023460%
d,1783626,68.059822%
z,1457578,87.317291%
r,1224530,42.394691%
s,1111815,40.132977%
l,1036728,44.217693%
v,787354,63.391079%
k,702461,39.412575%
m,683788,41.768681%
Y,619206,52.752258%
p,218740,17.999399%
D,196347,9.137732%
f,192841,18.721575%
J,152683,47.434021%
_,87895,30.168909%
g,64452,13.108129%
b,53172,4.865813%
S,39604,7.704127%
h,1058,0.103247%
w,0,0.000000%
