## This file was generated by code using data from another file.

Positional Counts,Starting,Ending
t,1991827,48.976543%
D,1952403,90.862267%
r,1663874,57.605309%
s,1658513,59.867023%
l,1307872,55.782307%
w,1236770,100.000000%
k,1079866,60.587425%
b,1039595,95.134186%
h,1023689,99.896751%
p,996523,82.000603%
m,953295,58.231319%
f,837206,81.278427%
d,837048,31.940180%
n,836521,20.238546%
Y,554594,47.247742%
S,474458,92.295876%
v,454704,36.608921%
g,427243,86.891869%
z,211711,12.682705%
_,203448,69.831093%
J,169202,52.565979%
