## This file was generated by code using data from another file.

Overlap,@,I,{,E,V,i,u,Q,2,1,5,3,#,$,6,8,7,4
@,4888124,3930095,2580580,2474242,2050777,2399305,1797803,2194236,2333170,2250796,2182282,1844976,1982677,2411686,1715448,1714813,1909389,979273
I,3930095,4872177,2722688,2349769,2230061,2075642,1763967,2235287,1825945,2242036,2125897,1697645,1810482,1636030,1618327,1134786,1310483,992970
{,2580580,2722688,1734793,1220934,728967,1001829,741347,666921,810400,784100,987742,647414,506939,662952,500501,309560,338441,186642
E,2474242,2349769,1220934,1427757,818689,973660,814159,853931,882753,894713,764657,539488,521198,637628,536729,288621,424767,290241
V,2050777,2230061,728967,818689,1682503,1119715,715662,617786,702327,830855,692926,357422,431720,527040,482917,254525,199297,150217
i,2399305,2075642,1001829,973660,1119715,1133431,882724,733735,946718,876547,755868,535605,546585,670758,582602,458203,488672,326598
u,1797803,1763967,741347,814159,715662,882724,1103945,594038,746502,744459,693134,482270,487931,591368,495826,406996,470455,313793
Q,2194236,2235287,666921,853931,617786,733735,594038,807394,683595,706932,568455,372560,361269,430047,355437,203240,175657,154614
2,2333170,1825945,810400,882753,702327,946718,746502,683595,997498,818777,667069,475043,436623,565332,455810,341180,407212,329378
1,2250796,2242036,784100,894713,830855,876547,744459,706932,818777,924948,683252,428352,463155,553521,454421,312531,361622,221155
5,2182282,2125897,987742,764657,692926,755868,693134,568455,667069,683252,682737,361983,365723,447854,385724,263398,274235,237713
3,1844976,1697645,647414,539488,357422,535605,482270,372560,475043,428352,361983,429210,256961,535828,160351,215948,223895,84944
#,1982677,1810482,506939,521198,431720,546585,487931,361269,436623,463155,365723,256961,410942,452055,185964,179690,196125,71079
$,2411686,1636030,662952,637628,527040,670758,591368,430047,565332,553521,447854,535828,452055,802323,318628,315000,354390,167005
6,1715448,1618327,500501,536729,482917,582602,495826,355437,455810,454421,385724,160351,185964,318628,342410,114917,118988,77237
8,1714813,1134786,309560,288621,254525,458203,406996,203240,341180,312531,263398,215948,179690,315000,114917,222011,173919,29068
7,1909389,1310483,338441,424767,199297,488672,470455,175657,407212,361622,274235,223895,196125,354390,118988,173919,212532,64174
4,979273,992970,186642,290241,150217,326598,313793,154614,329378,221155,237713,84944,71079,167005,77237,29068,64174,60381
